carat,depth,table,price,x,y,z,L/W,color_scale,grams,ppg,clarity_scale,cut_scale
1.0,0.03432946338849307,0.18734302710597545,0.9227217131478619,0.9862907007577361,0.9854763785151376,0.9852293310719977,0.135651264100771,0.25821368032824193,1.000000000000013,0.7762603700610029,0.361073121124511,-0.12999100487806745
0.03432946338849307,1.0,-0.24046887899310138,0.002139377959281749,-0.012199817625056626,-0.013765436035854414,0.09092083045814094,0.029064514557619284,0.047142919058762583,0.03432946338849228,-0.02644943391084905,0.06992726198940452,-0.2791004967953502
0.18734302710597545,-0.24046887899310138,1.0,0.13812170573117227,0.18657121006029107,0.18128418750741537,0.15953736269502558,0.12353691378131786,0.021138178836898083,0.18734302710596376,0.09085676921178497,0.15261995772873807,-0.4051161374664396
0.9227217131478619,0.002139377959281749,0.13812170573117227,1.0,0.8999156078095568,0.9011629064593545,0.8965662495730778,0.09282195235083995,0.14066406878513235,0.9227217131478344,0.9287280751930229,0.14676624305175112,-0.06862946049370848
0.9862907007577361,-0.012199817625056626,0.18657121006029107,0.8999156078095568,1.0,0.9986074940978381,0.9935196665431937,0.1514240998767228,0.2353905749703053,0.9862907007576838,0.7867751389240054,0.3752432697324025,-0.1103117235671436
0.9854763785151376,-0.013765436035854414,0.18128418750741537,0.9011629064593545,0.9986074940978381,1.0,0.9933369917322415,0.09995948616778129,0.235266241122053,0.9854763785150848,0.7889967546405977,0.37030341167243286,-0.11399577371268141
0.9852293310719977,0.09092083045814094,0.15953736269502558,0.8965662495730778,0.9935196665431937,0.9933369917322415,1.0,0.12877319065934997,0.2391438018568005,0.9852293310719354,0.7815238362530692,0.3778926744123516,-0.1406447497460459
0.135651264100771,0.029064514557619284,0.12353691378131786,0.09282195235083995,0.1514240998767228,0.09995948616778129,0.12877319065934997,1.0,0.026820931540859495,0.1356512641007655,0.07283406175627992,0.14216436132117205,0.0516087264092491
0.25821368032824193,0.047142919058762583,0.021138178836898083,0.14066406878513235,0.2353905749703053,0.235266241122053,0.2391438018568005,0.026820931540859495,1.0,0.258213680328249,-0.01970429874619629,-0.053830167064030876,-0.014066322554023443
1.000000000000013,0.03432946338849228,0.18734302710596376,0.9227217131478344,0.9862907007576838,0.9854763785150848,0.9852293310719354,0.1356512641007655,0.258213680328249,1.0,0.7762603700609768,0.36107312112450335,-0.1299910048780612
0.7762603700610029,-0.02644943391084905,0.09085676921178497,0.9287280751930229,0.7867751389240054,0.7889967546405977,0.7815238362530692,0.07283406175627992,-0.01970429874619629,0.7762603700609768,1.0,-0.051486480757319215,-0.007495494996750447
0.361073121124511,0.06992726198940452,0.15261995772873807,0.14676624305175112,0.3752432697324025,0.37030341167243286,0.3778926744123516,0.14216436132117205,-0.053830167064030876,0.36107312112450335,-0.051486480757319215,1.0,-0.16834087494216002
-0.12999100487806745,-0.2791004967953502,-0.4051161374664396,-0.06862946049370848,-0.1103117235671436,-0.11399577371268141,-0.1406447497460459,0.0516087264092491,-0.014066322554023443,-0.1299910048780612,-0.007495494996750447,-0.16834087494216002,1.0
